BSGatlas-gene-4272 5-ureB-sRNA
BSGatlas-gene-43 5S-rRNA_rrnA-5S
BSGatlas-gene-3636 5S-rRNA_rrnB-5S
BSGatlas-gene-1050 5S-rRNA_rrnD-5S
BSGatlas-gene-724 5S-rRNA_rrnE-5S
BSGatlas-gene-220 5S-rRNA_rrnG-5S
BSGatlas-gene-217 5S-rRNA_rrnH-5S
BSGatlas-gene-208 5S-rRNA_rrnI-5S
BSGatlas-gene-112 5S-rRNA_rrnJ-5S
BSGatlas-gene-16 5S-rRNA_rrnO-5S
BSGatlas-gene-124 5S-rRNA_rrnW-5S
BSGatlas-gene-2544 aacD
BSGatlas-gene-3138 aadK
BSGatlas-gene-4489 aag
BSGatlas-gene-3177 aapA
BSGatlas-gene-1681 abbA
BSGatlas-gene-3371 abfA
BSGatlas-gene-3345 abfB
BSGatlas-gene-1717 abhA
BSGatlas-gene-3380 abnA
BSGatlas-gene-4572 abnB
BSGatlas-gene-57 abrB
BSGatlas-gene-3420 accA
BSGatlas-gene-2859 accB
BSGatlas-gene-2858 accC
BSGatlas-gene-3421 accD
BSGatlas-gene-4332 acdA
BSGatlas-gene-3452 ackA
BSGatlas-gene-975 acoA
BSGatlas-gene-976 acoB
BSGatlas-gene-977 acoC
BSGatlas-gene-978 acoL
BSGatlas-gene-979 acoR
BSGatlas-gene-1879 acpA
BSGatlas-gene-2009 acpK
BSGatlas-gene-561 acpS
BSGatlas-gene-3479 acsA
BSGatlas-gene-3480 acuA
BSGatlas-gene-3481 acuB
BSGatlas-gene-3482 acuC
BSGatlas-gene-932 acyP
BSGatlas-gene-250 adaA
BSGatlas-gene-251 adaB
BSGatlas-gene-1273 addA
BSGatlas-gene-1272 addB
BSGatlas-gene-1722 adeC
BSGatlas-gene-3748 adeR
BSGatlas-gene-3167 adhA
BSGatlas-gene-3162 adhB
BSGatlas-gene-3165 adhR
BSGatlas-gene-182 adk
BSGatlas-gene-1543 aeeB
BSGatlas-gene-1691 ahpA
BSGatlas-gene-4652 ahpC
BSGatlas-gene-4653 ahpF
BSGatlas-gene-2449 aimP
BSGatlas-gene-2450 aimR
BSGatlas-gene-1155 akrN
BSGatlas-gene-3266 alaP
BSGatlas-gene-3216 alaS
BSGatlas-gene-4353 albA
BSGatlas-gene-4354 albB
BSGatlas-gene-4355 albC
BSGatlas-gene-4356 albD
BSGatlas-gene-4357 albE
BSGatlas-gene-4358 albF
BSGatlas-gene-4359 albG
BSGatlas-gene-3749 ald
BSGatlas-gene-4627 aldX
BSGatlas-gene-4511 aldY
BSGatlas-gene-249 alkA
BSGatlas-gene-563 alrA
BSGatlas-gene-2066 alrB
BSGatlas-gene-4202 alsD
BSGatlas-gene-4204 alsR
BSGatlas-gene-4203 alsS
BSGatlas-gene-2132 alsT
BSGatlas-gene-380 amhX
BSGatlas-gene-230 amiE
BSGatlas-gene-515 amj
BSGatlas-gene-1714 ampS
BSGatlas-gene-4257 amtB
BSGatlas-gene-383 amyE
BSGatlas-gene-3504 amyX
BSGatlas-gene-2771 ansA
BSGatlas-gene-2770 ansB
BSGatlas-gene-2772 ansR
BSGatlas-gene-345 ansZ
BSGatlas-gene-2950 antE
BSGatlas-gene-1353 appAc
BSGatlas-gene-1352 appAn
BSGatlas-gene-1354 appB
BSGatlas-gene-1355 appC
BSGatlas-gene-1350 appD
BSGatlas-gene-1351 appF
BSGatlas-gene-1238 aprE
BSGatlas-gene-2022 aprX
BSGatlas-gene-3242 apt
BSGatlas-gene-3379 araA
BSGatlas-gene-3378 araB
BSGatlas-gene-3377 araD
BSGatlas-gene-3976 araE
BSGatlas-gene-3376 araL
BSGatlas-gene-3374 araN
BSGatlas-gene-3373 araP
BSGatlas-gene-3372 araQ
BSGatlas-gene-3977 araR
BSGatlas-gene-4345 arfM
BSGatlas-gene-1334 argB
BSGatlas-gene-1332 argC
BSGatlas-gene-1335 argD
BSGatlas-gene-1338 argF
BSGatlas-gene-3450 argG
BSGatlas-gene-3449 argH
BSGatlas-gene-4680 argI
BSGatlas-gene-1333 argJ
BSGatlas-gene-2847 argR
BSGatlas-gene-4349 argS
BSGatlas-gene-2658 aroA
BSGatlas-gene-2669 aroB
BSGatlas-gene-2713 aroC
BSGatlas-gene-3001 aroE
BSGatlas-gene-2670 aroF
BSGatlas-gene-2668 aroH
BSGatlas-gene-395 aroK
BSGatlas-gene-3486 aroX
BSGatlas-gene-3017 arsB
BSGatlas-gene-3016 arsC
BSGatlas-gene-655 arsF
BSGatlas-gene-3019 arsR
BSGatlas-gene-2818 artP
BSGatlas-gene-2817 artQ
BSGatlas-gene-2816 artR
BSGatlas-gene-2304 arxR
BSGatlas-gene-3444 ascR
BSGatlas-gene-1968 asd
BSGatlas-gene-654 aseR
BSGatlas-gene-1153 asiMA
BSGatlas-gene-1152 asiMB
BSGatlas-gene-3567 asnB
BSGatlas-gene-4634 asnH
BSGatlas-gene-1290 asnO
BSGatlas-gene-2632 asnS
BSGatlas-gene-1051 asnTA
BSGatlas-gene-2633 aspB
BSGatlas-gene-4030 aspP
BSGatlas-gene-3235 aspS
BSGatlas-gene-3051 asrH
BSGatlas-gene-4295 atpA
BSGatlas-gene-4299 atpB
BSGatlas-gene-4292 atpC
BSGatlas-gene-4293 atpD
BSGatlas-gene-4298 atpE
BSGatlas-gene-4297 atpF
BSGatlas-gene-4294 atpG
BSGatlas-gene-4296 atpH
BSGatlas-gene-4300 atpI
BSGatlas-gene-3809 auzJ
BSGatlas-gene-3128 azlB
BSGatlas-gene-3127 azlC
BSGatlas-gene-3126 azlD
BSGatlas-gene-2271 azoJ
BSGatlas-gene-3931 azoRB
BSGatlas-gene-1134 azr
BSGatlas-gene-4395 bacA
BSGatlas-gene-4394 bacB
BSGatlas-gene-4393 bacC
BSGatlas-gene-4392 bacD
BSGatlas-gene-4391 bacE
BSGatlas-gene-4390 bacF
BSGatlas-gene-4389 bacG
BSGatlas-gene-11 Bacillaceae-1
BSGatlas-gene-42 Bacillaceae-1
BSGatlas-gene-374 Bacillaceae-1
BSGatlas-gene-559 Bacillaceae-1
BSGatlas-gene-721 Bacillaceae-1
BSGatlas-gene-1047 Bacillaceae-1
BSGatlas-gene-3639 Bacillaceae-1
BSGatlas-gene-4282 Bacillaceae-1
BSGatlas-gene-601 Bacillus-plasmid
BSGatlas-gene-1148 bcaP
BSGatlas-gene-1977 bcbE
BSGatlas-gene-2828 bcd
BSGatlas-gene-3550 bceA
BSGatlas-gene-3549 bceB
BSGatlas-gene-3552 bceR
BSGatlas-gene-3551 bceS
BSGatlas-gene-1043 bcp
BSGatlas-gene-4259 bcrC
BSGatlas-gene-2521 bdbA
BSGatlas-gene-2519 bdbB
BSGatlas-gene-3924 bdbC
BSGatlas-gene-3925 bdbD
BSGatlas-gene-777 bdhA
BSGatlas-gene-3688 bdhJ
BSGatlas-gene-3686 bdhK
BSGatlas-gene-3757 besA
BSGatlas-gene-4654 bglA
BSGatlas-gene-424 bglC
BSGatlas-gene-4564 bglH
BSGatlas-gene-4565 bglP
BSGatlas-gene-4544 bglS
BSGatlas-gene-2517 bhlA
BSGatlas-gene-2518 bhlB
